Discipline, Perf, Competitor, DOB, Country, Venue, Date
50 Metres, 5.96, Irina Privalova, 22 NOV 1968, RUS, Madrid, 09 FEB 1995
60 Metres, 6.92, Irina Privalova, 22 NOV 1968, RUS, Madrid, 11 FEB 1993
60 Metres, 6.92, Irina Privalova, 22 NOV 1968, RUS, Madrid, 09 FEB 1995
200 Metres, 21.87, Merlene Ottey, 10 MAY 1960, JAM, Liévin, 13 FEB 1993
400 Metres, 49.59, Jarmila Kratochvílová, 26 JAN 1951, TCH, Milano, 07 MAR 1982
800 Metres, 1:55.82, Jolanda Batagelj, 12 SEP 1976, SLO, Wien (Dusika-Halle), 03 MAR 2002
1000 Metres, 2:30.94, Maria de Lurdes Mutola, 27 OCT 1972, MOZ, Stockholm, 25 FEB 1999
1500 Metres, 3:55.17, Genzebe Dibaba, 08 FEB 1991, ETH, Karlsruhe (Europahalle), 01 FEB 2014
One Mile, 4:13.31*, Genzebe Dibaba, 08 FEB 1991, ETH, Stockholm (Globe Arena), 17 FEB 2016
One Mile, 4:17.14, Doina Melinte, 27 DEC 1956, ROU, East Rutherford, NJ, 09 FEB 1990
3000 Metres, 8:16.60, Genzebe Dibaba, 08 FEB 1991, ETH, Stockholm (Globe Arena), 06 FEB 2014
5000 Metres, 14:18.86, Genzebe Dibaba, 08 FEB 1991, ETH, Stockholm (Globe Arena), 19 FEB 2015
50 Metres Hurdles, 6.58, Cornelia Oschkenat, 29 OCT 1961, GDR, Berlin (DH), 20 FEB 1988
60 Metres Hurdles, 7.68, Susanna Kallur, 16 FEB 1981, SWE, Karlsruhe, 10 FEB 2008
High Jump, 2.08, Kajsa Bergqvist, 12 OCT 1976, SWE, Arnstadt (Sporthalle), 04 FEB 2006
Pole Vault, 5.02, Jennifer Suhr, 05 FEB 1982, USA, Albuquerque, NM, 02 MAR 2013
Long Jump, 7.37, Heike Drechsler, 16 DEC 1964, GDR, Wien, 13 FEB 1988
Triple Jump, 15.36, Tatyana Lebedeva, 21 JUL 1976, RUS, Budapest (Sportaréna), 06 MAR 2004
Shot Put, 22.50, Helena Fibingerová, 13 JUL 1949, TCH, Jablonec nad Nisou, 19 FEB 1977
Pentathlon, 5013, Natallia Dobrynska, 29 MAY 1982, UKR, Istanbul (Ataköy Arena), 09 MAR 2012
3000 Metres Race Walk, 11:40.33, Claudia Stef, 25 FEB 1978, ROU, Bucuresti, 30 JAN 1999
4x200 Metres Relay, 1:32.41, Russia, , RUS, Glasgow (Kelvin Hall), 29 JAN 2005
4x400 Metres Relay, 3:23.37, Russia, , RUS, Glasgow (Kelvin Hall), 28 JAN 2006
4x800 Metres Relay, 8:06.24, Moskva, , RUS, Moskva, 18 FEB 2011
